source,target,matrix_count,matrices
Hurricane Irma,Lake OK Discharge,1,PineIsl
Hurricanes,Fish Dist,1,StPete
Hurricanes,Fishing Efficiency,1,Madeira
Hurricanes,Fishing Pressure,1,StPete
Hurricanes,Fuel Price,1,Madeira
Hurricanes,Recruitment,1,Madeira
Hurricanes,Red Tide,1,Madeira
Hurricanes,Tourism Social Media,1,Madeira
IFQ Permit Costs,Fishing Participation,1,Madeira
Import Price,Local Consumption,1,PineIsl
Imports,Market Price,2,Group1; StPete
Invasive Spp. Lionfish,Grouper Population,1,PineIsl
Invasive Spp. Lionfish,Juvenile Mortality,1,PineIsl
Juvanescence,Growth,1,StPete
Juvanescence,Reproductive Output,1,StPete
Juvenile gag,Gray Snapper Juvenile Growth,1,Group1
Juvenile Gag,Strong year class recruit,1,StPete
Juvenile Mortality,Grouper Population,1,PineIsl
Juvenile Mortality,Nursery/Estuary,1,PineIsl
Lake OK Discharge,Green Algea,1,PineIsl
Lake OK Discharge,Pestacides Pollutants,1,PineIsl
Lake OK Discharge,Red Tide,1,PineIsl
Larval Dispersal,Recruitment,1,Group1
Lionfish,Bait abundance,1,PanamaCity
Lionfish,Forage Fish and Crustaceans,1,Madeira
Lionfish,Habitat Condition,1,Madeira
Lionfish,Snapper & Grouper,1,Madeira
Lionfish,Snapper/Grouper Population,1,PanamaCity
Local Consumption,Health Issues,1,PineIsl
Local supply,Market demand,1,PanamaCity
Location of Fishing,Fishing Effort,1,Madeira
Loop current,Currents,1,Madeira
Loop current,Water Temperature,1,Madeira
Loop Current Intrusion,Red Tide,1,Group1
Loop Current Intrusion,Water Temp,1,Group1
M (0.2),Snapper/ Grouper Pop,1,StPete
Managment,Discard Mortality,1,Group1
Managment,Rec and Com Fishing,1,Group1
Market demand,Price of fish,1,PanamaCity
Market Price,Discard Mortality,1,Group1
Market Price,Fishing Effort,1,Group1
Market Price,Fishing Pressure,1,StPete
Mating Behavior,Reproductive Output,1,StPete
Migration Pattern,Vulnerability to Fishing,1,Madeira
Mortality of Adults,Grouper Population,1,PineIsl
MS River Outflow Nutrients,Primary Produciton,1,Group1
Mullet,Grouper Population,1,PineIsl
Nearshore Restoration of Clams,Water Quality,1,PineIsl
Nearshore Temp,Red Tide,1,StPete
Negative Publicity,Real Estate Value and Sales,1,PineIsl
Negative Publicity,Rec Fishing Opportunities,1,PineIsl
Negative Publicity,Tourism,1,PineIsl
Net Mesh Size,Mullet,1,PineIsl
Nitrogen Removal by Oysters,Water Quality,1,PineIsl
No Financial Support,Exit fishery or part time fishing,1,PineIsl
Num Rec Anglers (Unknown),Rec Landings (Unknown),1,PineIsl
Nursery/Estuary,Grouper Population,1,PineIsl
Odors and Fumes,Real Estate Value and Sales,1,PineIsl
Offshore Temperature,Adult Habitat,1,StPete
Offshore Winds,Red Tide,1,PineIsl
Oil Spills,Adult Habitat,1,StPete
Oil Spills,Fish Dist,1,StPete
Oil Spills,Fishing Pressure,1,StPete
Oil Spills,Fuel Costs,1,Group1
Oil Spills,Prey Availability,1,StPete
Oil Spills,Water Quality,1,Group1
Opportunity to give input,Council process bias level,1,PanamaCity
Oyster Reefs,Nitrogen Removal by Oysters,1,PineIsl
Oyster Reefs,Water Quality,1,PineIsl
Permits/revenue for management,Enforcement level,1,PanamaCity
Pestacides Pollutants,Water Quality,1,PineIsl
Politics,Economy,1,Group1
Politics,Funding Data Collection,1,Group1
Politics,Managment,1,Group1
Pollutants,Water Quality,1,Madeira
Pollution,Red Tide,1,StPete
Pollution (red tide),Bait abundance,1,PanamaCity
Population Size,Discard Mortality,1,Group1
Population Size,Fishing Effort,1,Group1
Predators (Sharks/Goliath),Fishing Efficiency,1,Madeira
Predators (Sharks/Goliath),Lionfish,1,Madeira
Predators (Sharks/Goliath),Red Snapper,1,Madeira
Predators (Sharks/Goliath),Snapper & Grouper,1,Madeira
Predators Sharks and Lionfish1,Adult and Juvenile Mortality,1,Group1
Predators Sharks and Lionfish1,Adult Distribution,1,Group1
Predators Sharks and Lionfish1,Prey Avail Pinfish Abundance,1,Group1
Predators Sharks and Lionfish2,Adult and Juvenile Mortality,1,Group1
Predators Sharks and Lionfish2,Adult Distribution,1,Group1
Predators Sharks and Lionfish2,Prey Avail Pinfish Abundance,1,Group1
Prey Avail Pinfish Abundance,Adult and Juvenile Mortality,1,Group1
Prey Avail Pinfish Abundance,Egg Quality,1,Group1
Prey Avail Pinfish Abundance,Growth,1,Group1
Prey Availability,Growth,1,StPete
